LSOA11CD,LSOA11NM,area,NO2,NOx,PM25,PM10,AQ,IMD,IMD_R,population,pop_density,LAD11NM
E01000157,Barnet 022B,0.123572156,26.96844407,40.5630684,10.46892306,15.67633534,283.8274191,12.655,7,1636,13239.22846,Barnet
E01000158,Barnet 015A,0.270064128,25.92127098,38.23806376,10.29835252,15.2519423,293.3114102,19.721,5,1487,5506.099644,Barnet
E01000159,Barnet 015B,0.496498949,26.14875775,38.94591117,10.35219205,15.45539519,290.1624468,16.257,6,1818,3661.639171,Barnet
E01000160,Barnet 015C,0.302250146,28.07064428,44.61282716,10.62408826,16.17516436,272.7494484,12.121,7,2202,7285.356281,Barnet
E01000161,Barnet 015D,0.239141433,28.3381401,45.15670924,10.65235242,16.26857873,270.9137671,14.513,6,2480,10370.43214,Barnet
E01000162,Barnet 015E,0.183539737,28.40279518,45.68131344,10.65093166,16.3103375,270.0396313,18.504,5,1646,8968.085197,Barnet
E01000163,Barnet 022C,0.196855632,29.64156442,49.05845241,10.87399416,17.07454246,259.0504155,28.541,3,1703,8651.009813,Barnet
E01000164,Barnet 022D,0.550812475,29.34829778,48.05717791,10.69816143,16.62087733,263.9294037,25.331,4,1845,3349.597339,Barnet
E01000165,Barnet 022E,0.188847903,28.07247817,44.1959206,10.56215823,16.14544006,273.842585,13.258,7,1897,10045.12083,Barnet
E01000166,Barnet 003A,0.374743647,22.66598631,31.36661378,9.793861396,14.34834055,324.9451154,14.861,6,1597,4261.579912,Barnet
E01000167,Barnet 002A,0.599590946,22.57899944,31.32361343,9.758364712,14.36961252,325.5374371,28.35,3,1323,2206.504298,Barnet
E01000168,Barnet 003B,0.312452954,23.21621015,32.610059,9.915689433,14.55001172,318.1695153,6.975,9,1592,5095.167056,Barnet
E01000169,Barnet 003C,0.237445194,23.13454857,32.44560186,9.887108096,14.59678332,318.7516856,13.226,7,1631,6868.953525,Barnet
E01000170,Barnet 006A,0.296332782,24.55403413,36.43644187,10.09849401,15.09773039,302.3842195,20.384,5,1845,6226.108314,Barnet
E01000171,Barnet 006B,0.332864787,25.00094412,38.24017463,10.12737812,15.27580595,297.1082375,24.261,4,2361,7092.970154,Barnet
E01000172,Barnet 003D,0.545540223,24.1723631,34.88728061,10.07505906,14.92014187,307.3236474,8.421,9,1773,3249.989508,Barnet
E01000173,Barnet 006C,0.367026735,24.24680644,34.97108518,10.07556055,14.90190261,307.0555653,9.709,8,1775,4836.15996,Barnet
E01000174,Barnet 006D,0.187622164,25.84483814,39.98925182,10.28720038,15.45011045,290.073192,16.271,6,1963,10462.51655,Barnet
E01000175,Barnet 006E,0.50283774,24.6833012,36.0384514,10.12497893,14.92706041,303.3920776,7.614,9,1507,2996.990641,Barnet
E01000176,Barnet 027A,0.221918268,32.83579814,58.36354266,11.15203178,18.07682106,240.2144756,30.549,3,1703,7673.996443,Barnet
E01000177,Barnet 029A,0.168025179,27.76415138,42.2035618,10.60905573,15.9332953,277.4911929,8.263,9,1835,10920.98227,Barnet
E01000178,Barnet 027B,0.419790657,27.22068159,40.74777945,10.49429239,15.73399219,282.4901483,8.055,9,1835,4371.226394,Barnet
E01000179,Barnet 029B,0.143696952,27.43707922,41.32683626,10.5374717,15.82238942,280.4485029,8.467,9,1780,12387.17989,Barnet
E01000180,Barnet 029C,0.169899245,28.1586743,43.25062553,10.6785065,16.11554288,273.9348974,14.555,6,1778,10465.02591,Barnet
E01000181,Barnet 029D,0.145350479,29.22596991,46.80335768,10.81578669,16.50808365,264.9791739,8.204,9,1804,12411.37983,Barnet
